S_ID,Department
064f28f5e2b6740e878c6b602be1de4a,4210
11de507814bd94a9317ae5553d3e061d,4210
18f496371d40c15b2f09212a1dc6c89c,4208
26075b88b2d374c404a4c7813b541c69,5003
2f375be14963ad1e26f98d917822d6d4,4210
3c2c147290e814b995e5adf5429b50ce,4210
4129a10a3a79e2b0dd6765db1cc60890,5003
4a94a84bb6d31030ccdce407089e9d3f,4208
4e1e8220e9bb9b68f81ed86187be94e4,5003
5470d998a77729f28a4378608b9b2d32,4210
57211caaa8f45eb14064ba1cbd203a5f,4210
5e8d95683f6ade2026169e770b5d62ba,4210
7b0df0e81b59e445add3c984ae6d3b10,4009
7f20b0614884065d873ada8c93dfc808,5202
857b7bcf880e939a848166e31445631a,4210
af6865d829ff5bc1812a9bf56a088784,4208
be8834f784c3dde2ca8460e5ffc3cb2c,4210
bea424a9e8b375ad89ea25b689e232a9,4210
dc933a74059590536fdfba148f4aeef9,4210
dd7bf919583dbd9112ee3d2751d5a826,4210
e7ea0caac87e1b7b1b285841df22cb7c,4001
ec71918bc26e9c25ce10489d66b447e2,4208
fe656b730746ddbce2608916080f7b71,4210
32021c82079d68c388a601078e820f38,4210
082fab9182301ef4cdb1cc8818d0c858,4210
3b5ab143e6b12685f744cff160474db1,4210
5dfe74f7e3286b42c0bb22a33887cb6f,4210
8244e2a55f80d8dc8f1359c9df9930c3,4210
8df2c08daa237cf764692cd7f6f9c289,4210
96b0321bb7bb96663a0c7191dfdeffaa,4210
9f4326d942cfe9b234144334c5ccc62e,4210
c6b0553d4231c796ed38699a1895a0e1,4210
d51e8cdc598f171ce4d3ae0876c44f4c,4210
f125763017f7cc6ad7cca5f82ea58a72,4210
f93f26141e12e44c1a7400fdbfcf8f06,4210
393cb98e92a13836be8b0bb2089dc8f2,6204
44cab00bc744a53e502122fc2c01c542,6204
540cef596f8874f24f38eba9033640f9,6204
5dadb490142ab3fd4a1c30e11ff7ac6d,6204
632c6f8a1dad3c98cace282fc983f6a5,6204
67291e27f745d2deafc5febc233d432f,6204
6c35ef9451794138a86011efffca6dcc,6204
999f5a072f3af8e6c5a827b2d3a34a13,6204
b2b158d1ea378cd0850abe6b346451ea,6204
b995e3531eefb35e1cdf989a82ec8280,6204
bfc3a2aefaaea69fca134bdf0cfaa87b,6204
cac2e46806c731a2d74eca42fec7e774,6204
